name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,win_count
Frank Tripucka,TripFr00,9.0,19.0,118.875,0.75,1.75,0.0,0.0,0.25,0.25,0.47368421052631576,6.256578947368421,0.039473684210526314,0.09210526315789473,16
Frankie Albert,AlbeFr00,13.125,25.125,145.5,1.25,1.875,0.0,0.0,0.25,0.25,0.5223880597014925,5.791044776119403,0.04975124378109453,0.07462686567164178,13
Gary Cuozzo,CuozGa00,10.5,20.875,137.75,1.0,1.0,0.0,0.0,0.25,0.125,0.5029940119760479,6.598802395209581,0.04790419161676647,0.04790419161676647,22
Gary Danielson,DaniGa00,10.125,22.625,114.75,0.375,1.0,0.0,0.0,0.25,0.125,0.44751381215469616,5.071823204419889,0.016574585635359115,0.04419889502762431,33
Gary Hogeboom,HogeGa00,18.5,33.0,227.375,0.5,1.0,2.25,0.0,0.625,0.625,0.5606060606060606,6.890151515151516,0.015151515151515152,0.030303030303030304,20
Gary Huff,HuffGa00,11.125,24.375,129.75,0.5,1.375,0.0,0.0,0.125,0.125,0.4564102564102564,5.323076923076923,0.020512820512820513,0.05641025641025641,6
Geno Smith,SmitGe00,18.75,31.625,235.25,1.0,1.625,3.5,0.75,0.5,0.5,0.5928853754940712,7.438735177865612,0.03162055335968379,0.05138339920948617,11
George Blanda+,BlanGe00,8.625,22.0,127.5,1.5,1.75,0.0,0.0,0.375,0.25,0.39204545454545453,5.795454545454546,0.06818181818181818,0.07954545454545454,63
George Ratterman,RattGe00,11.875,24.375,211.125,2.25,1.625,0.0,0.0,0.75,0.75,0.48717948717948717,8.661538461538461,0.09230769230769231,0.06666666666666667,15
George Shaw,ShawGe00,9.375,19.0,124.5,0.875,1.875,0.0,0.0,0.5,0.5,0.4934210526315789,6.552631578947368,0.046052631578947366,0.09868421052631579,12
Gifford Nielsen,NielGi00,11.375,18.875,139.375,1.0,0.75,1.0,0.0,0.5,0.25,0.6026490066225165,7.3841059602649,0.052980132450331126,0.039735099337748346,6
Greg Landry,LandGr00,10.375,20.875,123.375,0.75,1.75,0.0,0.0,0.625,0.625,0.49700598802395207,5.910179640718563,0.03592814371257485,0.08383233532934131,41
Gus Frerotte,FrerGu00,15.5,29.125,208.25,1.5,1.0,1.25,0.0,0.375,0.25,0.5321888412017167,7.150214592274678,0.05150214592274678,0.034334763948497854,50
Heath Shuler,ShulHe00,12.375,27.5,182.875,1.125,1.375,1.375,0.0,0.0,0.0,0.45,6.65,0.04090909090909091,0.05,8
Hugh Millen,MillHu00,13.875,24.0,168.625,0.375,0.875,3.875,0.0,0.375,0.375,0.578125,7.026041666666667,0.015625,0.036458333333333336,8
J.P. Losman,LosmJ.00,12.875,25.125,144.875,0.875,0.625,3.0,0.0,0.25,0.125,0.5124378109452736,5.766169154228856,0.03482587064676617,0.024875621890547265,11
JaMarcus Russell,RussJa00,14.25,27.25,167.125,0.875,0.75,2.5,0.75,0.25,0.25,0.5229357798165137,6.13302752293578,0.03211009174311927,0.027522935779816515,8
Jack Concannon,ConcJa00,9.75,22.5,147.0,1.0,1.75,0.0,0.0,0.625,0.625,0.43333333333333335,6.533333333333333,0.044444444444444446,0.07777777777777778,16
Jack Kemp,KempJa00,17.125,33.25,223.625,1.125,1.5,0.0,0.0,0.625,0.625,0.5150375939849624,6.725563909774436,0.03383458646616541,0.045112781954887216,68
Jack Thompson,ThomJa00,9.25,19.875,103.375,0.75,0.75,0.0,0.0,0.25,0.0,0.46540880503144655,5.20125786163522,0.03773584905660377,0.03773584905660377,7
Jack Trudeau,TrudJa00,18.5,37.625,204.375,0.875,1.5,2.5,0.0,0.0,0.0,0.49169435215946844,5.431893687707642,0.023255813953488372,0.03986710963455149,19
Jacoby Brissett,BrisJa00,18.25,30.5,208.25,0.375,0.375,3.625,0.875,0.375,0.375,0.5983606557377049,6.827868852459017,0.012295081967213115,0.012295081967213115,5
Jake Delhomme,DelhJa00,17.25,29.75,196.75,1.25,1.25,2.0,0.0,0.75,0.625,0.5798319327731093,6.61344537815126,0.04201680672268908,0.04201680672268908,62
Jake Locker,LockJa00,16.5,28.625,211.75,1.375,0.5,1.0,0.25,0.25,0.25,0.5764192139737991,7.397379912663755,0.048034934497816595,0.017467248908296942,9
Jake Plummer,PlumJa00,16.625,31.0,233.5,1.375,1.625,6.0,0.0,0.25,0.25,0.5362903225806451,7.532258064516129,0.04435483870967742,0.05241935483870968,72
Jarious Jackson,JackJa00,0.0,20.875,62.0,0.25,0.0,0.0,0.0,0.5,0.375,0.0,2.970059880239521,0.011976047904191617,0.0,5
Jason Campbell,CampJa00,15.25,28.5,189.875,1.25,1.0,1.125,0.0,0.375,0.375,0.5350877192982456,6.662280701754386,0.043859649122807015,0.03508771929824561,32
Jay Cutler,CutlJa00,17.875,29.0,224.5,1.5,1.125,2.125,0.0,0.5,0.5,0.6163793103448276,7.741379310344827,0.05172413793103448,0.03879310344827586,75
Jay Fiedler,FiedJa00,14.0,23.875,163.5,1.0,0.875,1.75,0.0,0.75,0.625,0.5863874345549738,6.848167539267016,0.041884816753926704,0.03664921465968586,40
Jay Schroeder,SchrJa00,17.375,32.25,238.625,0.875,0.75,2.5,0.0,0.875,0.75,0.5387596899224806,7.39922480620155,0.027131782945736434,0.023255813953488372,62
Jeff Blake,BlakJe00,17.375,32.75,239.375,1.5,0.75,2.25,0.0,0.25,0.25,0.5305343511450382,7.309160305343512,0.04580152671755725,0.022900763358778626,39
Jeff Garcia,GarcJe00,17.875,31.375,203.125,0.75,1.0,1.25,0.0,0.25,0.25,0.5697211155378487,6.47410358565737,0.02390438247011952,0.03187250996015936,58
Jeff George,GeorJe00,12.75,23.875,150.625,1.0,0.875,2.25,0.0,0.375,0.375,0.5340314136125655,6.30890052356021,0.041884816753926704,0.03664921465968586,45
Jeff Hostetler,HostJe00,10.875,20.5,145.625,0.625,0.625,2.5,0.0,0.75,0.5,0.5304878048780488,7.103658536585366,0.03048780487804878,0.03048780487804878,55
Jeff Kemp,KempJe00,9.375,17.375,127.375,1.125,0.125,1.75,0.0,0.5,0.5,0.539568345323741,7.330935251798561,0.06474820143884892,0.007194244604316547,17
Jeff Komlo,KomlJe00,13.25,24.875,158.5,1.0,1.125,0.0,0.0,0.125,0.125,0.5326633165829145,6.371859296482412,0.04020100502512563,0.04522613065326633,3
Jeff Rutledge,RutlJe00,14.625,28.625,198.25,0.75,1.625,2.25,0.0,0.25,0.0,0.5109170305676856,6.925764192139738,0.026200873362445413,0.056768558951965066,6
Jerry Tagge,TaggJe00,8.5,17.375,111.625,0.25,1.25,0.0,0.0,0.375,0.375,0.4892086330935252,6.424460431654676,0.014388489208633094,0.07194244604316546,5
Jim Everett,EverJi00,12.125,24.75,156.0,1.0,1.375,1.625,0.0,0.375,0.375,0.4898989898989899,6.303030303030303,0.04040404040404041,0.05555555555555555,66
Jim Finks+,FinkJi00,12.0,25.25,174.875,1.375,1.375,0.0,0.0,0.375,0.25,0.4752475247524752,6.925742574257426,0.054455445544554455,0.054455445544554455,19
Jim Harbaugh,HarbJi00,11.875,21.25,127.5,0.25,0.375,1.75,0.0,0.5,0.25,0.5588235294117647,6.0,0.011764705882352941,0.01764705882352941,68
Jim Hardy,HardJi00,10.75,24.625,156.0,1.875,2.0,0.0,0.0,0.5,0.375,0.4365482233502538,6.33502538071066,0.07614213197969544,0.08121827411167512,7
Jim Hart,HartJi00,12.75,26.625,213.0,1.375,1.625,0.0,0.0,0.5,0.5,0.4788732394366197,8.0,0.051643192488262914,0.06103286384976526,85
Jim Kelly+,KellJi00,19.625,31.5,250.0,1.5,1.5,2.125,0.0,0.125,0.125,0.623015873015873,7.936507936507937,0.047619047619047616,0.047619047619047616,108
Jim McMahon,McMaJi00,15.0,26.25,187.625,1.125,0.875,3.375,0.0,0.375,0.375,0.5714285714285714,7.147619047619048,0.04285714285714286,0.03333333333333333,71
Jim Miller,MillJi00,18.875,30.75,215.25,1.125,1.25,1.375,0.0,0.25,0.125,0.6138211382113821,7.0,0.036585365853658534,0.04065040650406504,18
Jim Ninowski,NinoJi00,13.25,28.0,161.75,0.125,1.75,0.0,0.0,0.375,0.375,0.4732142857142857,5.776785714285714,0.004464285714285714,0.0625,16
Jim Plunkett,PlunJi00,10.25,23.375,133.0,1.125,0.875,0.0,0.0,0.375,0.375,0.4385026737967914,5.689839572192513,0.0481283422459893,0.0374331550802139,77
Jimmy Clausen,ClauJi00,12.625,24.75,132.0,0.125,0.75,2.375,1.0,0.0,0.0,0.51010101010101,5.333333333333333,0.005050505050505051,0.030303030303030304,1
Joe Ferguson,FergJo00,7.25,16.125,91.0,0.25,1.0,0.0,0.0,0.625,0.625,0.4496124031007752,5.6434108527131785,0.015503875968992248,0.06201550387596899,75
Joe Kapp,KappJo00,9.125,18.625,127.625,0.5,1.25,0.0,0.0,0.375,0.375,0.4899328859060403,6.852348993288591,0.026845637583892617,0.06711409395973154,21
